name,agi,agi_gain,int,int_gain,str,str_gain,hp,hp_regen,mana,mana_regen,armor,damage_reduction,movespeed,turn_rate,mean_base_damage,min_base_damage,max_base_damage,status_resistance,magic_resistance,base_atk_time,increased_atk_speed,atk_type,atk_time,atk_per_sec,atk_point,projectile_speed,physical_effective_health,magical_effective_health,range,vision_day,vision_night,dps
Abaddon,17,1.5,21,2,23,2.6,660,1.75,327,1.28,0.83,4,310,0.5,60,55,65,3.45,25,1.7,17,MELEE,1.45,0.69,0.56,900,687.5,880,150,1800,800,41.4
Underlord,12,1.3,17,2.6,25,2.9,700,1.77,279,1.21,3,13.04,285,0.6,65,62,68,3.75,25,1.7,12,MELEE,1.52,0.66,0.45,900,805,933.33,150,1800,800,42.9
Alchemist,16,1.2,25,1.8,25,2.1,700,1.77,375,1.35,1.67,7.69,290,0.6,53.5,49,58,3.75,25,1.7,16,MELEE,1.47,0.68,0.35,900,758.33,933.33,150,1800,800,36.38
Ancient Apparition,20,2.2,23,2.6,20,1.7,600,1.71,351,1.31,2.33,10.45,295,0.6,49,44,54,0,22.41,1.7,20,RANGED,1.42,0.71,0.45,1250,670,773.32,675,1800,800,34.79
Anti-Mage,22,2.8,12,1.8,23,1.3,660,2.04,219,1.12,2.67,11.76,314.09,0.5,53,51,55,0,25,1.4,22,MELEE,1.15,0.87,0.3,0,748,880,150,1800,800,46.11
Arc Warden,15,1.8,24,2.6,25,3,700,2.06,363,1.33,0.5,2.44,282.52,0.6,51,46,56,0,25,1.7,15,RANGED,1.48,0.68,0.3,900,717.5,933.33,625,1800,800,34.68
Axe,20,2.2,18,1.6,25,2.8,700,5.01,291,1.22,1.33,6.25,290,0.6,51,49,53,3.75,25,1.7,20,MELEE,1.42,0.71,0.5,900,746.67,933.33,150,1800,800,36.21
Bane,23,2.4,23,2.4,23,2.4,660,1.75,351,1.31,4.83,19.46,310,0.6,61,58,64,0,22.41,1.7,23,RANGED,1.38,0.72,0.3,900,819.5,850.65,400,1800,800,43.92
Batrider,15,1.5,22,2.5,28,2.7,760,3.9,339,1.3,2.5,11.11,290,1,40,38,42,0,22.53,1.7,15,RANGED,1.48,0.68,0.3,900,855,980.96,375,1200,800,27.2
Beastmaster,18,1.6,16,1.9,23,2.5,660,1.75,267,1.19,2,9.09,305,0.5,66,64,68,3.45,25,1.7,18,MELEE,1.44,0.69,0.3,0,726,880,150,1800,800,45.54
Bloodseeker,24,3,18,1.7,24,2.7,680,1.76,291,1.22,4,16.67,289.1,0.5,60,57,63,0,25,1.7,24,MELEE,1.37,0.73,0.43,900,816,906.67,150,1800,800,43.8
Bounty Hunter,21,3,19,2,18,2.1,560,2.26,303,1.24,6.5,24.53,318.97,0.6,52,45,59,0,25,1.7,21,MELEE,1.4,0.71,0.59,900,742,746.67,150,1800,1000,36.92
Brewmaster,22,1.95,14,1.25,23,3.2,660,2.33,243,1.15,1.67,7.69,295,0.6,55.5,52,59,3.45,25,1.7,22,MELEE,1.39,0.72,0.35,900,715,880,150,1800,800,39.96
Bristleback,17,1.8,14,2.8,22,2.2,640,1.74,243,1.15,2.83,12.41,285,1,49,44,54,3.3,25,1.8,17,MELEE,1.54,0.65,0.3,900,730.67,853.33,150,1800,800,31.85
Broodmother,15,2.2,18,2,18,2.8,560,1.69,291,1.22,2.5,11.11,272.43,0.5,44,41,47,0,25,1.7,15,MELEE,1.48,0.68,0.4,900,630,746.67,150,1800,800,29.92
Centaur Warrunner,15,1,15,1.6,27,4.3,740,1.79,255,1.17,1.5,6.98,295,0.5,64,63,65,4.05,25,1.7,15,MELEE,1.48,0.68,0.3,900,795.5,986.67,150,1800,800,43.52
